op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
SPLIT,223,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum183
SPLIT,222,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,221,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,220,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,219,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,218,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,217,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,216,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,215,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
SPLIT,214,3264.0,0.0,0.0,0.0,0.0,0.0036766315,-5,model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum3;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum4;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum5;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum6;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum7;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum8;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum9;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum10;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum11;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum12;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum13;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum14;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum15;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum16;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum17;model/quant_transformer_layer/multi_head_attention_4/einsum/Einsum182
